,loss,mae,mse,root_mean_squared_error,val_loss,val_mae,val_mse,val_root_mean_squared_error
259,0.004146046005189419,0.04925898090004921,0.004146046005189419,0.06438980251550674,0.004231170751154423,0.044087234884500504,0.004231170751154423,0.06504744291305542
260,0.0041364929638803005,0.049054380506277084,0.0041364929638803005,0.06431557238101959,0.004178947769105434,0.043282341212034225,0.004178947769105434,0.06464478373527527
261,0.004130254499614239,0.04903096333146095,0.004130254499614239,0.06426705420017242,0.004260743968188763,0.044441696256399155,0.004260743968188763,0.06527437269687653
262,0.004145149141550064,0.04941847175359726,0.004145149141550064,0.06438282877206802,0.0042112041264772415,0.04371371492743492,0.0042112041264772415,0.06489378958940506
263,0.004124123137444258,0.04891619086265564,0.004124123137444258,0.06421933323144913,0.004134570714086294,0.042608775198459625,0.004134570714086294,0.06430062651634216
264,0.004163321107625961,0.048798684030771255,0.004163321107625961,0.06452380120754242,0.004175301641225815,0.04321616515517235,0.004175301641225815,0.06461657583713531
265,0.004131924826651812,0.049021508544683456,0.004131924826651812,0.06428004801273346,0.004364276770502329,0.045745860785245895,0.004364276770502329,0.06606266647577286
266,0.004131903871893883,0.04928349331021309,0.004131903871893883,0.06427988409996033,0.004160053562372923,0.04295012727379799,0.004160053562372923,0.06449847668409348
267,0.004132105503231287,0.04895980283617973,0.004132105503231287,0.06428145617246628,0.004190036095678806,0.04344823956489563,0.004190036095678806,0.06473048776388168
268,0.004157113842666149,0.048843223601579666,0.004157113842666149,0.06447568535804749,0.004115012474358082,0.04229839891195297,0.004115012474358082,0.06414836645126343
269,0.004124982748180628,0.04897740110754967,0.004124982748180628,0.06422603875398636,0.0042840237729251385,0.04476102441549301,0.0042840237729251385,0.0654524564743042
270,0.004176634829491377,0.04960685223340988,0.004176634829491377,0.06462688744068146,0.004178457427769899,0.04322579503059387,0.004178457427769899,0.06464099138975143
271,0.004139983560889959,0.04879359155893326,0.004139983560889959,0.06434270739555359,0.004173118155449629,0.04310369864106178,0.004173118155449629,0.06459967792034149
