Time,Frequencia CMB,Untitled 1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,
20/03/2024 14:15:35,50,0,"-0,465135","-0,30822","-0,500645","-0,950566","8,609986","5,652923","3,210868","3,108127","-8,663537","0,962712","4983,01227"
20/03/2024 14:15:35,50,0,"-0,447934","-0,341539","-0,428409","-0,931558","8,735033","5,720947","3,221686","3,096026","-8,648608","0,989713","3838,768357"
20/03/2024 14:15:36,50,0,"-0,432816","-0,325155","-0,524333","-0,948732","8,374238","5,398161","3,216294","3,087118","-8,675512","0,928969","3808,316054"
20/03/2024 14:15:36,50,0,"-0,483724","-0,310189","-0,383144","-0,95046","8,771479","5,51601","3,264788","3,087757","-8,630789","0,953466","5525,432887"
20/03/2024 14:15:36,50,0,"-0,462898","-0,33634","-0,533246","-0,933216","8,615744","5,715515","3,223822","3,105643","-8,661707","0,969839","3792,558697"
20/03/2024 14:15:36,50,0,"-0,418932","-0,362255","-0,478834","-0,944677","8,464903","5,66531","3,2401","3,087828","-8,656409","0,949806","3344,663686"
20/03/2024 14:15:36,50,0,"-0,43405","-0,335001","-0,454911","-0,93981","8,720921","5,782951","3,231385","3,100462","-8,631656","0,979535","3783,950929"
20/03/2024 14:15:36,50,0,"-0,411373","-0,327991","-0,500724","-0,94838","8,679716","5,544728","3,195743","3,085485","-8,671146","0,911472","4971,469803"
20/03/2024 14:15:36,50,0,"-0,516043","-0,297822","-0,501193","-0,947357","8,657382","5,944639","3,198999","3,078529","-8,653038","0,939179","4398,028204"
20/03/2024 14:15:37,50,0,"-0,4693","-0,32421","-0,431145","-0,947427","8,800702","5,680742","3,229452","3,082682","-8,652878","0,934042","5165,326342"
20/03/2024 14:15:37,50,0,"-0,483261","-0,352803","-0,419184","-0,947075","8,724915","5,764267","3,170614","3,087615","-8,64209","0,950929","4945,567912"
20/03/2024 14:15:37,50,0,"-0,472925","-0,335238","-0,43521","-0,949861","8,452388","5,661919","3,229214","3,096239","-8,64209","0,929868","3885,177028"
20/03/2024 14:15:37,50,0,"-0,492826","-0,319326","-0,475785","-0,931417","8,708806","5,632301","3,225823","3,07963","-8,63217","1,000468","4910,014182"
20/03/2024 14:15:37,50,0,"-0,479636","-0,273247","-0,5026","-0,943266","8,651757","5,649567","3,209647","3,089283","-8,632298","0,954943","4443,384646"
20/03/2024 14:15:37,50,0,"-0,427031","-0,314206","-0,528399","-0,936601","8,768483","5,742642","3,220194","3,073561","-8,643985","0,934395","5386,894493"
20/03/2024 14:15:38,50,0,"-0,462127","-0,319169","-0,534262","-0,96312","8,644268","5,599396","3,232199","3,083711","-8,671756","0,953819","5328,910471"
20/03/2024 14:15:38,50,0,"-0,434513","-0,354457","-0,449517","-0,947851","8,316957","5,51594","3,222534","3,069267","-8,666266","0,912821","4196,930288"
