Time,Frequencia CMB,Untitled 1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,Untitled 12
20/03/2024 12:57:51,38,0,"-0,45102","-0,355481","-0,459133","-0,914984","6,457397","3,957021","3,19476","3,061246","-8,631977","0,883829","4722,860802"
20/03/2024 12:57:51,38,0,"-0,456188","-0,310741","-0,453817","-0,868012","6,399051","3,989961","3,201","3,063801","-8,658946","0,881486","4050,218594"
20/03/2024 12:57:51,38,0,"-0,534709","-0,304439","-0,510105","-0,912445","6,353419","3,919272","3,211987","3,081759","-8,661803","0,895419","3945,339286"
20/03/2024 12:57:51,38,0,"-0,453565","-0,316412","-0,503851","-0,902289","6,336544","3,944115","3,200762","3,063411","-8,67747","0,933561","3957,650213"
20/03/2024 12:57:52,38,0,"-0,484264","-0,375646","-0,503538","-0,926762","6,41496","3,892042","3,194421","3,054184","-8,64498","0,951026","5084,174822"
20/03/2024 12:57:52,38,0,"-0,461664","-0,330669","-0,579605","-0,92179","6,400582","3,900796","3,199067","3,072532","-8,647741","0,932116","3922,026391"
20/03/2024 12:57:52,38,0,"-0,447471","-0,349416","-0,525115","-0,89513","6,313978","3,840799","3,196354","3,072283","-8,655992","0,885178","4055,249959"
20/03/2024 12:57:52,38,0,"-0,475702","-0,363673","-0,552243","-0,914314","6,41749","3,939756","3,201237","3,076116","-8,665977","0,919017","4023,457413"
20/03/2024 12:57:52,38,0,"-0,516969","-0,312473","-0,500098","-0,892662","6,383341","4,03937","3,192861","3,066854","-8,670407","0,919563","4223,755849"
20/03/2024 12:57:52,38,0,"-0,485498","-0,32035","-0,551305","-0,931594","6,387069","4,009994","3,205205","3,055071","-8,64864","0,933625","3984,253652"
20/03/2024 12:57:53,38,0,"-0,467835","-0,288922","-0,442715","-0,920697","6,407771","3,907958","3,218159","3,059791","-8,643021","0,923447","4000,619981"
20/03/2024 12:57:53,38,0,"-0,52877","-0,30885","-0,400734","-0,957196","6,327258","3,915881","3,1971","3,076436","-8,646136","0,901712","3979,123828"
20/03/2024 12:57:53,38,0,"-0,502853","-0,327833","-0,454286","-0,892239","6,395623","4,057743","3,207545","3,075903","-8,678947","0,985571","3918,812225"
20/03/2024 12:57:53,38,0,"-0,461355","-0,310662","-0,540829","-0,958536","6,43979","3,987124","3,199575","3,079594","-8,656923","0,962744","4775,033329"
20/03/2024 12:57:53,38,0,"-0,512495","-0,348313","-0,469296","-0,897458","6,372391","3,978197","3,207816","3,077713","-8,661867","0,954268","4041,783346"
20/03/2024 12:57:53,38,0,"-0,479945","-0,346186","-0,529649","-0,938153","6,403611","3,938994","3,200728","3,085095","-8,662606","0,957222","3970,743605"
