Frequencia CMB,Angulo CV-1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,desconhecida
40.0,0.0,0.47045898,0.7631836,-0.4885254,-0.95947266,6.7695312,4.1289062,3.0878906,2.9570312,-8.6640625,0.85498047,4776.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
40.0,0.0,9.91875,0.7324219,-0.44746095,-0.9796875,6.834375,4.0363283,3.0945313,2.9722657,-8.65625,0.85732424,4117.6
40.0,0.0,10.931641,0.7475586,-0.4510498,-0.9663086,6.8916016,4.104492,3.0927734,2.9624023,-8.646484,0.8378906,4010.5
40.0,0.0,11.98125,0.7487305,-0.4432129,-0.9671875,6.952344,4.065625,3.0945313,2.9765625,-8.657812,0.8300781,4088.0
40.0,0.0,13.115625,0.7597656,-0.46079102,-0.9345703,7.028125,4.0035157,3.0839844,2.9535155,-8.65,0.86816406,4189.2
40.0,0.0,14.1796875,0.73886716,-0.41298828,-0.9638672,7.078906,3.8894532,3.0964844,2.9683595,-8.646875,0.8641602,4115.2
40.0,0.0,15.277344,0.75561523,-0.41906738,-0.9425049,7.1914062,3.8867188,3.0864258,2.9711914,-8.658203,0.82629395,4313.5
40.0,0.0,16.18125,0.7524414,-0.3955078,-0.87529296,7.328906,3.8234375,3.0984375,2.963672,-8.675,0.88066405,4103.2
40.0,0.0,17.3625,0.7546875,-0.43222657,-0.88359374,7.4195313,3.7324219,3.1027343,2.9703126,-8.651563,0.8238281,4235.2
40.0,0.0,18.382812,0.74768066,-0.38043213,-0.8790283,7.4628906,3.6777344,3.100586,2.972168,-8.658203,0.8718262,4302.0
40.0,0.0,19.41875,0.72822267,-0.44145507,-0.9046875,7.5546875,3.676953,3.0953126,2.9652343,-8.645312,0.8731445,4210.8
40.0,0.0,20.528126,0.7416016,-0.45004883,-0.8364258,7.6671877,3.5964844,3.10625,2.9695313,-8.646875,0.87460935,3885.6
40.0,0.0,21.574219,0.7467041,-0.4006958,-0.8132324,7.7871094,3.661621,3.0952148,2.9663086,-8.662109,0.8753662,3882.5
40.0,0.0,22.578125,0.7426758,-0.4963867,-0.84033203,7.874219,3.5847657,3.0921874,2.9703126,-8.645312,0.85009766,3762.8
40.0,0.0,23.488281,0.75927734,-0.4550171,-0.7792969,8.009766,3.5800781,3.099121,2.9731445,-8.6640625,0.8375244,4251.5
40.0,0.0,24.515625,0.7477539,-0.44023436,-0.76767576,8.140625,3.5515625,3.0980468,2.9703126,-8.65625,0.8366211,4080.4
40.0,0.0,25.5625,0.74157715,-0.41986084,-0.7077637,8.316406,3.5507812,3.086914,2.96875,-8.671875,0.8117676,4505.0
40.0,0.0,26.59375,0.74003905,-0.4263672,-0.6560547,8.4609375,3.4621093,3.0878906,2.963672,-8.653125,0.8484375,4168.4
40.0,0.0,27.695312,0.7266846,-0.4152832,-0.6569824,8.591797,3.3271484,3.0976562,2.9648438,-8.642578,0.8249512,3931.5
40.0,0.0,28.7,0.7475586,-0.5011719,-0.5876953,8.76875,3.3011718,3.0945313,2.9683595,-8.670313,0.8666016,4364.8
40.0,0.0,29.578125,0.75231934,-0.48529053,-0.6032715,8.8828125,3.2202148,3.104004,2.9604492,-8.650391,0.8261719,4082.0
40.0,0.0,29.59375,0.7530273,-0.41962892,-0.56337893,8.95625,3.1773438,3.101172,2.9625,-8.653125,0.8604492,4264.8
40.0,0.0,29.605469,0.7557373,-0.4265747,-0.6011963,8.9375,3.225586,3.0839844,2.9638672,-8.658203,0.8774414,4020.0
40.0,0.0,29.578125,0.7537842,-0.4727173,-0.5805664,8.941406,3.1860352,3.09375,2.9580078,-8.636719,0.84472656,4205.0
40.0,0.0,29.6,0.7477539,-0.44282228,-0.60117185,8.959375,3.130078,3.0914063,2.9683595,-8.651563,0.8201172,4367.6
40.0,0.0,29.597656,0.7545166,-0.46600342,-0.5950928,8.953125,3.211914,3.0917969,2.9702148,-8.65625,0.8125,4241.0
40.0,0.0,29.609375,0.74433595,-0.47597656,-0.5930664,8.904688,3.1675782,3.101953,2.9632812,-8.660937,0.84892577,4208.4
40.0,0.0,29.589844,0.7402344,-0.47564697,-0.5600586,8.927734,3.2197266,3.1000977,2.965332,-8.662109,0.81640625,4152.0
40.0,0.0,29.589844,0.755249,-0.3922119,-0.6114502,8.904297,3.1577148,3.0922852,2.9711914,-8.667969,0.861084,4273.5
40.0,0.0,29.615625,0.74501956,-0.43105468,-0.5923828,8.9,3.1328125,3.0875,2.9703126,-8.65,0.85546875,4122.4
40.0,0.0,29.585938,0.7675781,-0.4724121,-0.5650635,8.951172,3.2304688,3.0805664,2.9736328,-8.6484375,0.84643555,3914.0
40.0,0.0,29.605469,0.7384033,-0.41223145,-0.56066895,8.951172,3.2558594,3.1020508,2.9677734,-8.658203,0.8520508,4330.5
40.0,0.0,29.613281,0.73791504,-0.44152832,-0.571167,8.972656,3.224121,3.0986328,2.9648438,-8.6484375,0.82299805,4028.5
40.0,0.0,29.585938,0.7501221,-0.42474365,-0.61572266,8.9375,3.2202148,3.0966797,2.9667969,-8.6484375,0.81469727,4287.0
40.0,0.0,29.5875,0.7441406,-0.46689454,-0.5895508,8.95625,3.1628907,3.1003907,2.961328,-8.6625,0.8492187,4047.2
40.0,0.0,29.613281,0.7524414,-0.4282837,-0.5686035,8.9453125,3.1948242,3.0922852,2.9643555,-8.650391,0.8511963,4234.5
40.0,0.0,29.597656,0.74157715,-0.38049316,-0.5534668,8.958984,3.1655273,3.105957,2.9702148,-8.652344,0.8334961,4097.5
40.0,0.0,29.589844,0.7733154,-0.44189453,-0.59155273,8.919922,3.081543,3.097168,2.9570312,-8.654297,0.8911133,4009.5
40.0,0.0,29.601562,0.7495117,-0.45593262,-0.60266113,8.916016,3.1269531,3.0947266,2.9643555,-8.660156,0.87023926,4464.0
40.0,0.0,29.5875,0.7349609,-0.3859375,-0.58066404,8.9375,3.1683593,3.0953126,2.9585938,-8.65625,0.86220706,4009.6
40.0,0.0,29.601562,0.75634766,-0.42871094,-0.61938477,8.933594,3.1557617,3.0913086,2.9677734,-8.654297,0.82373047,4270.5
40.0,0.0,29.585938,0.72058105,-0.4326172,-0.5429077,8.953125,3.1743164,3.086914,2.9536133,-8.667969,0.84606934,4171.0
