Frequencia CMB,CV-1,PT-2
40.0,29.034531199999996,8.827421900000001
40.0,29.411093799999996,8.8973437
40.0,29.5910938,8.9354687
40.0,29.595,8.949531200000001
40.0,29.598125,8.9392188
40.0,29.595,8.9372656
40.0,29.597343799999997,8.9298438
40.0,29.600468799999998,8.9179688
40.0,29.5981252,8.9175782
40.0,29.597344,8.926874999999999
40.0,29.602031399999998,8.935859400000002
40.0,29.6012502,8.9425
40.0,29.5956252,8.95375
40.0,29.6010938,8.9525781
40.0,29.5995312,8.9541405
40.0,29.5948438,8.9435937
40.0,29.5979686,8.939296899999999
40.0,29.5979686,8.9355469
40.0,29.595624800000003,8.9332032
40.0,29.5932812,8.9320314
40.0,29.5925,8.9332032
40.0,29.591718800000002,8.9386718
40.0,29.5929688,8.939062400000001
40.0,29.5945314,8.936328
40.0,29.5992188,8.9320312
40.0,29.6039062,8.9359375
40.0,29.6054688,8.9300782
40.0,29.6070312,8.928906399999999
40.0,29.6039062,8.9328126
40.0,29.603125,8.928125
40.0,29.6015624,8.9222657
40.0,29.6031248,8.9265626
40.0,29.6039062,8.9257813
40.0,29.605468600000002,8.9289063
40.0,29.6015624,8.9320313
40.0,29.5992188,8.9402343
40.0,29.597656399999998,8.939453100000001
40.0,29.5914064,8.9382812
40.0,29.590625199999998,8.9265624
40.0,29.5921876,8.9242186
40.0,29.5921876,8.9296874
40.0,29.584635600000002,8.923046699999999
40.0,29.5838542,8.925781099999998
40.0,29.586198000000003,8.9300781
40.0,29.584635600000002,8.9421875
40.0,29.586979200000002,8.9320313
40.0,29.5929686,8.940625
40.0,29.5934894,8.946875
40.0,29.5903644,8.9539062
40.0,29.5903644,8.9566406
40.0,29.5895832,8.9542968
40.0,29.587760199999998,8.947786500000001
40.0,29.595833199999998,8.9423177
40.0,29.598177,8.9348959
40.0,29.5986976,8.9292969
40.0,29.596354,8.9273437
40.0,29.595052,8.935025999999999
40.0,29.584895799999998,8.9233073
40.0,29.5895832,8.9279947
