time,pressure_set_point,pressure_predicted,error,delta_error,frequency,delta_frequency,pt_k_1,pt_k_2,angle_set_point,angle,angle_error,model,time
2024-04-20 11:08:41.122551,6.0,6.10878854878149,-0.10878854878149014,0.002147324868106537,30.0,-1.494185311586418e-17,6.110935873649597,6.1132362708727594,30.0,29.414644710850038,-0.8204123504934806,MLP,2024-04-20 11:08:41.122551
2024-04-20 11:08:41.629807,6.0,6.106760519739389,-0.10676051973938883,0.002028029042101309,30.0,-1.4938601394869327e-17,6.10878854878149,6.110935873649597,30.0,29.437388928252794,-0.5202171139152298,MLP,2024-04-20 11:08:41.629807
2024-04-20 11:08:42.147690,6.0,6.104862566266608,-0.10486256626660762,0.0018979534727812108,30.0,-1.4935656678473025e-17,6.106760519739389,6.10878854878149,30.0,29.683110806009545,-0.5779456342141067,MLP,2024-04-20 11:08:42.147690
2024-04-20 11:08:42.642851,6.0,6.1030731288765185,-0.10307312887651854,0.001789437390089077,30.0,-1.4933506430289412e-17,6.104862566266608,6.106760519739389,30.0,31.080170387552727,0.8875313772453453,MLP,2024-04-20 11:08:42.642851
2024-04-20 11:08:43.151125,6.0,6.101396519466448,-0.1013965194664479,0.0016766094100706397,30.0,-1.493149232173328e-17,6.1030731288765185,6.104862566266608,30.0,28.824534676983863,-1.2036406668745734,MLP,2024-04-20 11:08:43.151125
2024-04-20 11:08:43.653941,6.0,6.0998169277462,-0.09981692774620043,0.001579591720247464,30.0,-1.4929595257375653e-17,6.101396519466448,6.1030731288765185,30.0,29.53965261610677,-0.2814827122155421,MLP,2024-04-20 11:08:43.653941
2024-04-20 11:08:44.167658,6.0,6.098335791014885,-0.09833579101488521,0.0014811367313152246,30.0,-1.4927816873747096e-17,6.0998169277462,6.101396519466448,30.0,30.802235345072734,0.8025236944693077,MLP,2024-04-20 11:08:44.167658
2024-04-20 11:08:44.673609,6.0,6.09694232952919,-0.09694232952919002,0.001393461485695191,30.0,-1.4926144147520234e-17,6.098335791014885,6.0998169277462,30.0,29.548782381868996,-0.28146988207668144,MLP,2024-04-20 11:08:44.673609
2024-04-20 11:08:45.187407,6.0,6.09563438734045,-0.09563438734044993,0.0013079421887400855,30.0,-1.4924574420614227e-17,6.09694232952919,6.098335791014885,30.0,31.07761697770728,1.0593791818627665,MLP,2024-04-20 11:08:45.187407
2024-04-20 11:08:45.681959,6.0,6.094404059303569,-0.0944040593035691,0.0012303280368808345,30.0,-1.4923098143665673e-17,6.09563438734045,6.09694232952919,30.0,29.045385800518506,-0.8211251912388704,MLP,2024-04-20 11:08:45.681959
